ITA,BS,CATEGORY
abbacinare,tö l'öcc,
abbagliare,orbéra,
abbaiamento,bajamènt,
abbaiare,bajà,
abbaiata,bajàda,
abbaino,abaì,
abbaino,lüzaröl,
abbandonare,abandunà,
abbandonato (riferito a luogo),al bandù,
abbassamento,sbasamènt,
abbassare,sbasà,
abbastanza,asé,
abbattere,böta zó,
abbattifieno,fenér,
abbecedario,abachì,
abbellire,fa bèl,
abbeveratoio,beadùr,
abbeveratoio,biidùr,
abbiamo,góm,
abboccare,bocà,
abboccare,abocà,
abbonare,fa bù,
abbondante soffiata di naso,macagnàda,
abbondanza,brandós,arcaico
abbordare,bordà,
abbottonare,butunà,
abbozzare,bosà,
abbracciare,brasà,
abbracciarsi,brasàs,
abbracciata,brasàda,
abbracciati,brasàcc-sà,
abbracciato,brasàt,
abbrustolire,brustulì,
abete,aès,
abete bianco,aès,botanica
abete bianco,aoès,botanica
abete bianco,avès,botanica
abete bianco,razaròt,botanica
abete rosso,paghér,botanica
abete rosso,paghéra,botanica
abile,sitìl,
abilità,spertìsia,
abitare,sta de ca',
abituarsi,üśàs,
abortire,abordì,
aborto,abòrd,
abrotano,ambrògn màs'cc,botanica
abrotano di campo,ambrògn bastàrd,botanica
accaduto,capitàt,
accalappiacani,ciapacà,
accalappiacani,copacà,
accalappiacani,masacà,
Accalappiare,Rocolà,figurativo
Accantonato,Ëncantunàt,
Accapigliarsi,Spelöcàs,
Accartocciare,Ënciurcia,
Accattivarsi,Menà la cùa,figurativo
Accattone,Sercòt,
Accecare,Ënorbésër,
Accendere,Ëmpisà,
Accendino,Machinèta de 'mpisà,
Accesa,Ëmpisa,
Acceso,Ëmpis,
Accetta,Sügarèt,attrezzo
Acchiappare,Ëmbrocà,figurativo
Acciaccato,Sgalvagnàt,
Acciacchi,Sacàgn,
Acciaino,Asalì,
Acciaio,Asàl,
Acciarino,Asalì,
Acciarpare,Capocià,
Acciecato,Ënurbìt,
Accigliato,Mutriù,
Acciottolare,Cogolà,
Acciottolato,Salìzol,
Acciottolato,Résol,
Acciuga,Aciùga,pesce-pesca
Accomodarsi,Cumudàs,
Acconto,Acönt,
Accoppiare,Cobià,
Accoppiato,Bìnat,
Accorare,Corà,
Accorarsi,Coràs,
Accorato,Ëngremìt,
Accorciare,Scürtà,
Accordare,Ëncordà,
Accordarsi,Combinàs,
Accordarsi,Cordàs,
Accordi musicali (fare a.),Tastegià,
Accordo,Ëntés,
Accordo illecito,Burdù,
Accorgere,Acórzër,
Accorgersi,Ëncurzìs,
Accorto,Nincurzìt,
Accorto,Desedàt,figurativo
Accosciarsi,Ënquaciàs,
Accosciarsi,Ëncuciàs,
Accozzaglia,Consòbla,
Accucciato,Ëncuciù,
Accudire,Stàga dré,
Accudire,Tèndër,
Accudire,Stüdì,
Accumulare,Ramasà,
Accumulare,Ramasà,
Accusare,Cüsà,
Acerbo,Àghër,
Acerbo,Zèrb,
Acerbo,Garb,arcaico
Acero,Àzër,botanica
Acero,Òpol,botanica
Aceto,Azét,
Aceto,Zét,
Acetosa minore,Èrba salìna,botanica
